"Search","بحث"
"Search entire store here...","ابحث في المتجر بالكامل هنا..."
"Add to Cart","أضف إلى السلة"
"Add to Wish List","أضف إلى قائمة الرغبات"
"Add to Compare","أضف للمقارنة"
"Add","إضافة"
"Cart","السلة"
"My Cart","سلتي"
"Checkout","الدفع"
"Proceed to Checkout","المتابعة إلى الدفع"
"View Cart","عرض السلة"
"Sign In","تسجيل الدخول"
"Sign Out","تسجيل الخروج"
"Create an Account","إنشاء حساب"
"My Account","حسابي"
"Home","الرئيسية"
"Shop","تسوق"
"Categories","الأقسام"
"Menu","القائمة"
"Close","إغلاق"
"Submit","إرسال"
"Cancel","إلغاء"
"Save","حفظ"
"Delete","حذف"
"Edit","تعديل"
"Back","رجوع"
"Next","التالي"
"Previous","السابق"
"Continue Shopping","متابعة التسوق"
"Product","المنتج"
"Products","المنتجات"
"Price","السعر"
"Qty","الكمية"
"Quantity","الكمية"
"Subtotal","المجموع الفرعي"
"Total","الإجمالي"
"Grand Total","المجموع الكلي"
"Tax","الضريبة"
"Discount","الخصم"
"Shipping","الشحن"
"Free Shipping","شحن مجاني"
"Order","الطلب"
"Orders","الطلبات"
"Order Summary","ملخص الطلب"
"Item","صنف"
"Items","أصناف"
"Remove","إزالة"
"Update","تحديث"
"Apply","تطبيق"
"Coupon Code","رمز القسيمة"
"Apply Coupon","تطبيق القسيمة"
"Sort By","ترتيب حسب"
"Show","عرض"
"Filter","تصفية"
"Filters","المرشحات"
"Clear All","مسح الكل"
"No results found","لم يتم العثور على نتائج"
"Loading...","جاري التحميل..."
"Please wait...","يرجى الانتظار..."
"Email","البريد الإلكتروني"
"Password","كلمة المرور"
"First Name","الاسم الأول"
"Last Name","اسم العائلة"
"Phone","الهاتف"
"Address","العنوان"
"City","المدينة"
"Country","الدولة"
"Zip/Postal Code","الرمز البريدي"
"Required Fields","الحقول المطلوبة"
"This is a required field.","هذا الحقل مطلوب."
"Related Products","منتجات ذات صلة"
"You may also like","قد يعجبك أيضاً"
"Reviews","التقييمات"
"Write a Review","اكتب تقييم"
"Description","الوصف"
"Additional Information","معلومات إضافية"
"Availability","التوفر"
"In Stock","متوفر"
"Out of Stock","غير متوفر"
"SKU","رمز المنتج"
"Brand","العلامة التجارية"
"Warranty","الضمان"
"Set of 4:","مجموعة 4:"
"Fully Fitted Price Per Tyre","سعر التركيب الكامل لكل إطار"
"Fully Fitted Price","سعر التركيب الكامل"
"Fully Fitted Price per Item","سعر التركيب الكامل لكل قطعة"
"Year","السنة"
"Origin","المنشأ"
"Tyre Size","مقاس الإطار"
"Find the right tyres for your vehicle","ابحث عن الإطارات المناسبة لسيارتك"
"Search by size or vehicle","البحث حسب المقاس أو السيارة"
"Search now","ابحث الآن"
"Buy Tyres Online","شراء إطارات أونلاين"
"Contact Us","اتصل بنا"
"About Us","من نحن"
"Privacy Policy","سياسة الخصوصية"
"Terms &amp; Conditions","الشروط والأحكام"
"FAQ","الأسئلة الشائعة"
"Newsletter","النشرة الإخبارية"
"Subscribe","اشترك"
"Follow Us","تابعنا"
"All Rights Reserved","جميع الحقوق محفوظة"
"Previous slide","الشريحة السابقة"
"Next slide","الشريحة التالية"
"Carousel","عرض دوار"
"Press to skip carousel","اضغط لتخطي العرض الدوار"
"Press to go to carousel navigation","اضغط للانتقال إلى تنقل العرض الدوار"
"Display slide %1","عرض الشريحة %1"
"Item %1","العنصر %1"
"Carousel %1","عرض دوار %1"
"Tyres","الإطارات"
"EV Tyres","إطارات السيارات الكهربائية"
"Tyres by Size","الإطارات حسب الحجم"
"Tyres by Brand","الإطارات حسب العلامة التجارية"
"Tyres by Vehicle","الإطارات حسب السيارة"
"Car Battery","بطارية السيارة"
"Car Insurance","التأمين على السيارات"
"Car Services","خدمات السيارات"
"Car Tyre Service","خدمة اطارات السيارات"
"Car Battery Service","خدمة بطارية السيارة"
"Car AC Service","خدمة تكييف السيارة"
"Car Brake Service","خدمة مكابح السيارة"
"Car Oil Change Service","خدمة تغيير زيت السيارة"
"Car Mechanical Service","خدمة ميكانيكية السيارات"
"Car Wheel Alignment Service","خدمة ضبط زوايا عجلات السيارة"
"Car Wheel Balancing Service","خدمة موازنة عجلات السيارات"
"Car Rim Repair Service","خدمة إصلاح جنوط السيارات"
"Rims/Wheels","جنوط/عجلات"
"Motorbike Tyres","إطارات الدراجات النارية"
"Offers","العروض"
"Installer Network","شبكة المثبت"
"FAQs","الأسئلة الشائعة"
"Contact Us","اتصل بنا"

"Menu","القائمة"
"Vehicle","مركبة"
"Size","الحجم"
"Car Brands","ماركات السيارات"
"Tyres Brands","العلامات التجارية للإطارات"
"Search","بحث"
"Tyre Size","حجم الإطارات"
"EV Tires","EV الإطارات"
"My","بل"
"Cart","عربة التسوق"
"Your cart is empty","سلة التسوق فارغة"
"Start adding products to your cart!","ابدأ في إضافة المنتجات إلى سلة التسوق!"
"Continue Shopping","متابعة التسوق"
"Please enter 3 or more characters","يرجى إدخال 3 أحرف أو أكثر"
"No results found","لم يتم العثور على أي نتائج"
"You can only select 2 items","يمكنك اختيار عنصرين فقط"

"Vehicle","مركبة"
"Select your vehicle to continue.","اختر سيارتك للمتابعة."
"Search vehicle","البحث عن مركبة"
"Serie","السلسلة"
"Select serie.","اختر السلسلة"
"Search serie","البحث في المسلسلات"
"Year","السنة"
"Select year to continue.","اختر السنة للمتابعة."
"Search year","البحث حسب السنة"
"Engine","المحرك"
"Select engine to continue.","اختر المحرك للمتابعة."
"Search engine","محرك البحث"
"Car Wheels","عجلات السيارات"
"Select your car wheel size.","اختر مقاس عجلات سيارتك"
"Search car wheels","البحث عن عجلات السيارات"
"Car Tyres","إطارات السيارات"
"Select your car tyre size.","اختر مقاس إطارات سيارتك."
"Search car tyres","البحث عن إطارات السيارات"
"Follow the instructions","اتبع التعليمات"
"Last search","آخر عملية بحث"
"See results","انظر النتائج"
"Brands","العلامات التجارية"
"Loading options...","جاري تحميل الخيارات..."
"options available","الخيارات المتاحة"
“RUN FLAT”,”رن فلات”
“Search tyre fitments for:”,”البحث عن إطارات مناسبة لـ:”
“New search”,”بحث جديد”
“SEARCH”,”بحث”
“Front:”,”الأمامي:”
“Change front size”,”تغيير المقاس الأمامي”
“See results”,”عرض النتائج”
“There is only one step left to discover the perfect tyres for your car. Select one of the following options to continue.”,”تبقت خطوة واحدة فقط للعثور على الإطارات المثالية لسيارتك. اختر أحد الخيارات التالية للمتابعة.”
“You can close this window with the “X” button.”,”يمكنك إغلاق هذه النافذة بالنقر على زر \”X\”.”
“Search Tyres”,”البحث عن الإطارات”
“Different Rear Size”,”مقاس خلفي مختلف”
“Search All Same Size Tyres”,”البحث عن جميع الإطارات بنفس المقاس”
“Different Rear Size”,”مقاس خلفي مختلف”
“Search All Same Size Tyres”,”البحث عن جميع الإطارات بنفس المقاس”
“Different Rear Size”,”مقاس خلفي مختلف”
“Search All Same Size Tyres”,”البحث عن جميع الإطارات بنفس المقاس”
“Close”,”إغلاق”
"No options found for your search.","لم يتم العثور على خيارات لبحثك."
"Follow our instructions","اتبع تعليماتنا"
"The main information of the car, such as make, model, year of registration and type-approved tyres, is given in the registration certificate.","ترد المعلومات الأساسية عن السيارة، مثل العلامة التجارية والطراز وسنة التسجيل والإطارات المعتمدة، في شهادة التسجيل."
"You will find your car’s model in rows D.1, D.2 and D.3 of the registration certificate.","ستجد طراز سيارتك في الأسطر D.1 و D.2 و D.3 من شهادة التسجيل."
"All tyres have different numbers on the sidewall which correspond to: section width, aspect ratio, construction code and rim diameter, load index and speed code.","تحتوي جميع الإطارات على أرقام مختلفة على الجدار الجانبي، وهي تشير إلى: عرض المقطع، ونسبة الارتفاع إلى العرض، ورمز التصميم وقطر الحافة، ومؤشر الحمولة، ورمز السرعة."
"Deep Dive","تعمق"
"How to read a tyre sidewall","كيفية قراءة الجدار الجانبي للإطار"
"Read full article","اقرأ المقال كاملاً"
"The three-digit number tells you how wide your tyre is.","الرقم المكون من ثلاثة أرقام يخبرك بعرض إطارك."
"The aspect ratio tells you how tall your tyre is.","نسبة العرض إلى الارتفاع تخبرك بارتفاع إطارك."
"The two-digit number tells you the diameter of the rims that the tyre is meant to be mounted on, in inches.","الرقم المكون من رقمين يخبرك بقطر الجنوط التي يُراد تركيب الإطار عليها، بالبوصة."
"The tyre load index states how much weight a tyre can bear.","مؤشر حمل الإطار يحدد الوزن الأقصى الذي يمكن للإطار تحمله."
"FACTORY SIZE","المقاس الأصلي"
"OPTIONAL SIZE","المقاس الاختياري"
"No options found for your search.","لم يتم العثور على خيارات لبحثك."
"Search Tyres","البحث عن الإطارات"
"Different Rear Size","مقاس خلفي مختلف"
"Different Rear Size","مقاس خلفي مختلف"
"Search All Same Size Tyres","البحث عن جميع الإطارات بنفس المقاس"
"Model","الموديل"
"Make","الماركة"
"Rim Size","مقاس الجنط"
"Select the rear tyre rim size.","اختر مقاس جنط الإطار الخلفي."
"Select the rim size.","اختر مقاس الجنط."
"Search rim size","البحث عن مقاس الجنط"
"EV Width","عرض إطار السيارة الكهربائية"
"Now select the rear EV tyre width.","اختر الآن عرض إطار السيارة الكهربائية الخلفي."
"Select the EV tyre width.","اختر عرض إطار السيارة الكهربائية."
"Search width","البحث حسب العرض"
"Search by","البحث حسب"
"Car Tyres","إطارات السيارات"
"Motorbike Tires","إطارات الدراجات النارية"
"Browse by","تصفح حسب"
"Car Tires","إطارات السيارات"
"Select the rear wheel width.","اختر عرض العجلة الخلفية."
"Select the wheel width.","اختر عرض العجلة."
"Search width","البحث حسب العرض"
"Rim Size","مقاس الجنط"
"Select the rear wheel rim size.","اختر مقاس جنط العجلة الخلفية."
"Select the wheel rim size.","اختر مقاس جنط العجلة."
"Search rim size","البحث عن مقاس الجنط"
"Offset","الإزاحة"
"Select the rear wheel offset.","اختر إزاحة العجلة الخلفية."
"Select the wheel offset.","اختر إزاحة العجلة."
"Search offset","البحث حسب الإزاحة"
"Now select the rear tyre width.","اختر الآن عرض الإطار الخلفي."
"Tell us the tyre size you are looking for.","أخبرنا بمقاس الإطار الذي تبحث عنه."
"Search the size","البحث حسب المقاس"
"Aspect Ratio","نسبة العرض إلى الارتفاع"
"Select the rear tyre aspect ratio.","اختر نسبة العرض إلى الارتفاع للإطار الخلفي."
"Tell us the aspect ratio you are looking for.","أخبرنا بنسبة العرض إلى الارتفاع التي تبحث عنها."
"Search the aspect ratio","البحث حسب نسبة العرض إلى الارتفاع"
"Rim Size","مقاس الجنط"
"Select the rear tyre rim size.","اختر مقاس جنط الإطار الخلفي."
"Tell us the rim size you are looking for.","أخبرنا بمقاس الجنط الذي تبحث عنه."
"Search the rim size","البحث عن مقاس الجنط"

"Car Brand","ماركة السيارة"
"Select a car brand to continue.","اختر ماركة السيارة للمتابعة."
"Search brand","البحث حسب الماركة"
"Width","العرض"
"Now select the rear tyre width.","اختر الآن عرض الإطار الخلفي."
"Select the tyre width for","اختر عرض الإطار لـ"
"Search width","البحث حسب العرض"
"Aspect Ratio","نسبة العرض إلى الارتفاع"
"Select the rear tyre aspect ratio.","اختر نسبة العرض إلى الارتفاع للإطار الخلفي."
"Select the aspect ratio.","اختر نسبة العرض إلى الارتفاع."
"Search aspect ratio","البحث حسب نسبة العرض إلى الارتفاع"
"Rim Size","مقاس الجنط"
"Select the rear tyre rim size.","اختر مقاس جنط الإطار الخلفي."
"Select the rim size.","اختر مقاس الجنط."
"Search rim size","البحث عن مقاس الجنط"

"Select the EV tyre aspect ratio.","اختر نسبة العرض إلى الارتفاع لإطار السيارة الكهربائية."
"Now select the rear EV tyre width.","اختر الآن عرض إطار السيارة الكهربائية الخلفي."
"Select the EV tyre width.","اختر عرض إطار السيارة الكهربائية."
"Select the rear EV tyre aspect ratio.","اختر نسبة العرض إلى الارتفاع لإطار السيارة الكهربائية الخلفي."
"Select the EV tyre aspect ratio.","اختر نسبة العرض إلى الارتفاع لإطار السيارة الكهربائية."
"Select the rear EV tyre rim size.","اختر مقاس جنط إطار السيارة الكهربائية الخلفي."
"Select the EV tyre rim size.","اختر مقاس جنط إطار السيارة الكهربائية."
"Front:","الأمامي:"
"Rear:","الخلفي:"
"Search mode","وضع البحث"
"Rear Size","المقاس الخلفي"
"Rear","الخلفي"
"Rim","الجنط"
"Height","الارتفاع"
"Width","العرض"
"rear","الخلفي"
"Rear Width","العرض الخلفي"
"Rear Height","الارتفاع الخلفي"
"Front","الأمامي"
"Rear","الخلفي"
"Exclusive","حصري"
"Offers","العروض"
"Get quality tyres at the right price—shop and save now!","احصل على إطارات عالية الجودة بالسعر المناسب—تسوق الآن ووفّر!"
"How It","كيف"
"Works","يعمل"
"STEP","الخطوة"
"Choose Your Tyres","اختر إطاراتك"
"From top brands online","من أفضل الماركات أونلاين"
"Pick Installer & Time","اختر برنامج التثبيت والوقت"
"Anywhere across the UAE","في أي مكان في الإمارات"
"Pay Securely Online","ادفع بأمان أونلاين"
"Fast and safe checkout","دفع سريع وآمن"
"Get Tyres Installed","ركّب إطاراتك"
"At your chosen location","في الموقع الذي تختاره"
"All-in-one","الحل الشامل"
"Auto Care Solutions","حلول العناية بالسيارة"
"At TyresCart, we offer a complete range of car and motorbike tyres across the UAE. With skilled technicians, advanced equipment, and a commitment to quality, we keep your vehicle running smoothly - whether you're driving through Dubai, Abu Dhabi, or anywhere in between.","في TyresCart، نقدم مجموعة كاملة من إطارات السيارات والدراجات النارية في جميع أنحاء الإمارات. بفضل فنيين مهرة ومعدات متطورة والتزام بالجودة، نحافظ على سيارتك في أفضل حال - سواء كنت تقود في دبي أو أبوظبي أو أي مكان آخر."
"Battery","البطارية"
"Car Service","خدمة السيارة"
